name,region,distance_km,elevation_gain_m,difficulty,duration_min,days,description,route_number,url
Chemin du Vallon de Réchy,"Vercorin, Crêt du Midi (Rundweg)",15.0,720.0,Bergwanderweg | technical: medium | fitness: medium,285,1,"Versteckt zwischen dem Val d'Hérens und dem Val d'Anniviers liegt das ursprüngliche Vallon de Réchy. Das spärlich bebaute Tal ist eines der letzten im Wallis ohne Verkehr und Strassen. Dafür machen es natürlich verlaufende Bäche, Bergseen, ausgedehnte Flachmoore und spezielle Pflanzen zu einem lohnenden Wanderziel. Auf dieser Tour könne die drei Höhenlagen des Tals entdeckt werden, die alle ihren ganz eigenen Charakter haben. Der Startpunkt der Wanderung ist auf dem Bergrücken Crêt-du-Midi, gleich über der Waldgrenze. Dorthin bringt einen die Seilbahn ab Vercorin. Keinesfalls verpassen: der Panoramablick über das Rhonetal Richtung Berner und Waadtländer Alpen, weit ins Val d'Anniviers und auf der anderen Seite zur Bella Tola. Der Weg folgt bergab der Ostflanke des Tals. Unterwegs: ein herrlicher Blick auf die Wälder, Wiesen und Lichtungen. Die erste Passage wird durch die natürliche Steinschwelle Le Pichioc abgeschlossen. Das Wasser der Rèche überwindet sie in einem glitzernden Wasserfall. Das mittlere Tal bildet die Moorlandschaft Ar du Tsan. Idyllisch schlängelt sich hier der gewundene Fluss durch das grosse, sumpfige Becken. Besonders im oberen Teil des Tals entdeckt der Wanderer viele seltene Pflanzenarten. Der Wendepunkt der Tour ist der Bergsee von Le Louché zuhinterst im Tal. Hier herrscht absolute Ruhe. Wer Glück hat, kann Wildtiere beobachten, die hier ungestört leben. Umschlossen wird die Gegend von einem Bergkranz: die Becs de Bosson, der Felsgipfel La Maya oder der Roc d'Orzival. Beim Abstieg führt die Route durch die Ostseite des Tales und erreicht auf dem gleichen Weg schliesslich den Crêt du Midi.",217,https://www.schweizmobil.ch/de/wanderland/route-217
Sentier du Balcon du Mont-Blanc,"Finhaut → Emosson, Barrage",9.0,880.0,Wanderweg | technical: easy | fitness: medium,195,1,"Die Wanderung startet beim Mont Blanc Express in Finhaut. Oberhalb des Dorfes bei Les Thiés befindet sich der Wegweiser «A travers Finhaut». Diesem Weg wird bis zum Schiessstand gefolgt. Im Gebiet gibt es verschiedene Biotope zwischen Sümpfen, Heuwiesen und Felsen. Die Landschaft – bestehend aus kleinen sumpfigen Tälern, die von Felsen gesäumt sind – ist das Ergebnis der Gletschererosion. Auf dem Weg Richtung Tête de la Boffa können auf der rechten Seite auf einem Felsen in der Nähe eines ehemaligen Schafstalles seltsame Fuss- und Handabdrücke entdeckt werden. Sie wurden 1927 von Louis Lugon-Moulin mit dem Spitznamen «Louis der sechs Finger» angebracht. Er war ungefähr bis 1935 Postbote zwischen Finhaut und Vernayaz und starb 1969. Bei Tête de la Boffa (1426 m) zweigt der Weg nach Fénestral ab. Mehrere Lawinenkorridore mit üppiger Vegetation werden durchquert. Je nach Jahreszeit wachsen hier hier gelbe Ginster, Heidekraut, Heidelbeeren, Martagon-Lilien, Glockenblumen, Feuerkraut oder sogar Himbeeren. Die Wanderer befinden sich jetzt auf der Fénestral-Alp auf 1801 Metern, wo die Kühe bis Mitte September den Sommer verbringen. Die Alp liegt in einem alten Gletscherkar auf einer Frontmoräne. Sie ist das letzte Zeugnis des bedeutenden Vorstosses des Bel Oiseau-Gletschers, bevor dieser vor mehr als 10’000 Jahren verschwand. Die Wanderung führt nun weiter in Richtung Emosson und seiner Staumauer via «Col de la Gueulaz» (1965 m). Hier bietet sich ein herrlicher Panoramablick auf das Mont-Blanc-Massiv und die Hochebene von Trient. Die Wanderer befinden sich über der Waldgrenze inmitten von Rhododendren, Bergkiefern und Wacholdersträuchen. Beim Staudamm von Emosson steigt der Weg weiter an der Kapelle vorbei und erreicht schliesslich den höchsten Punkt auf dem «Six Jeur» (2062 m). Dieser Ort ist wegen seines geschützten Biotops «Bas-marais» etwas Besonderes.",218,https://www.schweizmobil.ch/de/wanderland/route-218
Chemin des villages et hameaux d'Entremont,"Liddes → Orsières, La Douay",14.0,420.0,Bergwanderweg | technical: medium | fitness: difficult,240,1,"Vom Val d'Entremont führt eine Strasse über den Grossen St. Bernhard ins italienische Aostatal. Der Pass ist seit Jahrhunderten eine wichtige Transitroute. Das Walliser Tal beherbergt aber auch eine Reihe historischer Dörfer und Weiler, die sehr gut erhalten sind. Diese Wanderung verbindet die schönsten unter ihnen: Liddes, Chandonne, Commeire, La Rosière, Chamoille d'Orsières und La Douay. Die älteste und bekannteste Route durch das Tal ist die Via Francigena, eine historische Pilgerroute von Canterbury nach Rom. Diese Wanderung hingegen führt ein wenig höher durch sonnige Weiden, Wälder und verschlafene Bergdörfer abseits der bekannten Pfade. Der Ausgangspunkt ist Liddes mit seiner Kirche aus dem 13. Jahrhundert und einem interessanten kleinen Museum. Danach wird Chardonne durchquert. Der friedliche Weiler auf 1454 m Höhe liegt auf einer Sonnenterrasse. Alle Dörfer am Weg glänzen mit einem reichen architektonischen Erbe in Form von traditionellen Häusern, Chalets und Stadeln. Ein Paradebeispiel: das nachhaltige Tourismusprojekt «Montagne Alternative» in Commeire, ein sogenanntes «Albergo Difuso». Jede vierte Scheune im Weiler gehört zum Konzepthotel. Von aussen unterscheiden sich die Hotel-Häuschen nicht von den restlichen Ställen und Wohnhäusern. Der Weiler verbirgt eine weitere Überraschung, die nicht sofort erkennbar ist: eine unterirdische Artilleriefestung. Anfang der 1940er-Jahre erbaut, hatten hier fast 140 Soldaten Platz, um das Tal zu verteidigen. Der Komplex kann besichtigt werden und es ist sogar möglich, Teile davon für Anlässe zu mieten. Der nächste Ort, La Rosière, zieht Pilger aus aller Welt an: Maurice Tornay (1910-1949) ist hier aufgewachsen, ein katholischer Priester. Er war in Missionen in China und Tibet tätig und wurde 1993 von Papst Johannes Paul II selig gesprochen. Sein Geburtshaus ist für die Öffentlichkeit zugänglich. Nach dem verschlafenen Dorf Chamoille endet die Route in der Talsohle, in La Douay.",219,https://www.schweizmobil.ch/de/wanderland/route-219
Tour du Grand Chavalard,"Ovronnaz, Jorasse (Rundweg)",15.0,1050.0,Bergwanderweg | technical: medium | fitness: difficult,340,1,"Der Grand Chavalard (2899 m) ist der imposante Gipfel, der über der Unterwalliser Gemeinde Fully thront. Diese Wanderung umrundet ihn in einer Höhe zwischen 1850 und 2450 Metern. Der Weg beginnt bei der Bergstation des Sessellifts Jorasse, die ab Ovronnaz erreicht wird. Nach der Panorama-Fahrt wird zum Petit Pré aufgestiegen, wo die eigentliche Tour beginnt. Ab hier werden herrliche, alpine Landschaften durchquert. Rechterhand geht es zunächst sanft bergauf bis zur Weide Grand Pré d'Euloi. Während der Schneeschmelze verwandelt sie sich in einen See. Jetzt wird es steiler: Bis zum höchsten Punkt der Tour werden mehr als 400 Höhenmeter überwunden. Umso spektakulärer präsentiert sich die Aussicht vom Fenestral-Pass (2453 m): Man blickt über die Seen von Fully mit dem Mont-Blanc Massiv im Hintergrund. Unmittelbar nach dem Pass befindet sich die Cabane du Fenestral. Von der Passhöhe führt der Weg zunächst hinunter, vorbei am Lac Supérieur de Fully und zur Berghütte Cabane de Sorniot (2’064 m.ü.M.). Der See ist ein Reservoir und speichert das Wasser des Wasserkraftwerks in der Nähe von Fully. Das Kraftwerk wurde 1915 in Betrieb genommen - eine Pionierleistung! Bis 1934 wies das Wasserkraftwerk mit 1'643 Metern die weltweit grösste Bruttofallhöhe auf. An den steilen Südflanken des Grand Chavalard hat man das gesamte Rhonetal und Fully im Blick, das direkt unterhalb liegt. Gewusst ? An diesen Hängen findet eines der aufregendsten Sportevents im Wallis statt: der «Kilomètre Vertical de Fully». Bei diesem Rennen werden 1000 Höhenmeter bezwungen, gerannt wird auf einer unbenützten Standseilbahnstrecke. Mit Steigungen von 60% gilt das Rennen als eines der steilsten und schnellsten weltweit. Die Wanderung ist da um einiges gemütlicher. Nachdem die Südhänge des Grand Chavalard gequert wurden, geht es Richtung Norden. Bei L'Erié wird eine die dritte Hütte passiert, die Gîte de Lui d'Août (1957 m). Es folgt ein letzter, kurzer Aufstieg zur Bergstation des Sessellifts, wo die Rundwanderung endet und das Restaurant mit Panoramaterrasse und Spielplatz zum Verweilen einlädt.",220,https://www.schweizmobil.ch/de/wanderland/route-220
Tour du Lac de Moiry,"Moiry, Barrage (Rundweg)",14.0,840.0,Bergwanderweg | technical: medium | fitness: medium,285,1,"Diese Panoramawanderung führt etwas höher gelegen rund um den türkisblauen Moiry-Stausee. Wer will, kann vor oder nach der Wanderung auf einer geführten Tour ins Innere des Staudamms mehr über die Stromproduktion erfahren. Spannend: Dank einem Tunnel-Netzwerk wird im See nicht nur Wasser vom Val de Moiry gesammelt, sondern auch von benachbarten Tälern. Auf dem Weg hinunter ins Rhonetal werden drei Wasserkraftwerke passiert. Die produzierte Energie deckt den Strombedarf von über 120'000 Haushalten in der Schweiz. Start- und Endpunkt der Rundwanderung ist die Krone des Staudamms. Von hier schlängelt sich der Weg am Osthang oberhalb des Sees steil und im Zickzack hinauf auf rund 2370 Meter. Dann wird Richtung Süden abgezweigt. Zuerst bergauf, danach wird in einem Auf und Ab das Ende des Sees erreicht. Die Alpweiden von «Fêta d’Août de Châteaupré» werden überquert, bevor der Weg steil hinunter zum Gletscherwasser des Lac de Châteaupré führt. Hier wird auch der Bergbach Gougra überquert, der den Stausee mit dem Gletscherwasser des Moirygletschers speist. Er liegt ungefähr fünf Kilometer südlich des Sees unterhalb der Pointe de Mourti. Nach dem Überqueren des Flusses steigt der Weg über die Gletschermoräne erneut hinauf auf knapp 2500 Meter. Jetzt wird der Flanke auf der anderen Talseite gefolgt. Unterwegs laden die kleinen Seen «Lac de la Bayenna» und der «Lac du Louché» zu einer Pause ein, bevor der letzte Abstieg unter die Füsse genommen wird. Die Pause kann natürlich auch erst im Restaurant des Staudamms gemacht werden, wo eine Terrasse mit Seeblick wartet. Kletterfans kommen auf dem Klettersteig links des Staudamms ebenfalls auf ihre Kosten.",221,https://www.schweizmobil.ch/de/wanderland/route-221
Autour du Mont Gond,"Nendaz, Tracouet → Siviez",14.0,620.0,Bergwanderweg | technical: medium | fitness: difficult,280,1,"Die Wanderung startet bei der Bergstation der Tracouet-Seilbahn. Ein kurzers Stück in Richtung Lac de Tracouet steigt der Weg in Kehren hinab zur Balavaux-Hütte. Hier umgeben einen gigantische Lärchen, einige scheinen direkt aus dem Märchen zu stammen. Sie zählen zu den ältesten in ganz Europa. Mehr als 250 Exemplare gibt es rund um die Alp, einige sind 1000 Jahre alt. Eine der ältesten Lärchen hat einen Umfang von 14,6 Metern und ist möglicherweise die grösste in Europa. Nach der Unterquerung der Seilbahn Prarion-Plan du Fou wird der Weg schmaler und ist mit Wurzeln und Kieselsteinen gespickt. Auch die Umgebung wird immer alpiner. Die Wiese erreicht, ist der Berggipfel Pointe des Champs Ferret (2742m) zu sehen. Ein Geröllfeld und ein Wildbach werden überquert. Der Aufstieg setzt sich links von der Pointe des Champs Ferret fort. Dieser Abschnitt ist kurz und steil. Zwischen Steinen und Felsen kann etwa auf halber Höhe die Aussicht auf Balavaux, die Alpen und nach Tracouet bewundert werden. Auf gut 2575 Metern ist dann der Aufstieg geschafft und es öffnet sich ein herrliches Panorama auf den Mont-Fort und den Mont-Gelé. Aber auch hinunter zum Cleuson-Staudamm und zum Japanischen Garten. Der Abstieg beginnt auf dem steilen und unebenen Pfad, der entlang eines kleinen Baches verläuft. Über eine Alp gelangt man zu einem breiten Feldweg und über eine alte Moräne. Zur Rechten : der Japanische Garten, auf dem «Dach» einer Gletschermoräne. Kleine Bäume und Bächlein, moosbewachsene Steine, sattgrüne Wiesen: Im Unterschied zu Japan, wo die Gärten mit genau diesen Elementen in der Regel künstlich angelegt wurden, finden sie sich hier auf der Hochebene in natürlicher Umgebung. Der Abstieg kann ein Stück unterhalb des Gartens mit der Seilbahn abgekürzt werden. Zu Fuss geht es auf dem breiten Kiesweg stetig bergab bis ins Ziel nach Siviez.",223,https://www.schweizmobil.ch/de/wanderland/route-223
Sentier Panorama 4000,"Crans-Montana, Cry-d'Er → Crans-Montana, Aminona",14.0,540.0,Bergwanderweg | technical: medium | fitness: difficult,270,1,"Der Name dieser Wanderung ist Programm: Unterwegs bietet sich eine herrliche Panoramasicht auf das Rhonetal und die schneebedeckten Viertausender in der Ferne. Auf der gegenüberliegenden Seite: das Val d'Anniviers, majestätisch eingerahmt von fünf Viertausendern, und als Highlight das Matterhorn im Hintergrund. Ausgangspunkt der Tour ist die Bergstation der Gondelbahn Cry d'Er mit Restaurant und sonniger Panoramaterrasse. Der erste, fast ebene Teil des Weges führt über grüne Wiesen. Unterwegs können Murmeltiere beobachtet werden. Für sie ist die Gegend hier ideal: In den kargen Geröllhalden finden sie Unterschlupf und auch Gras und kleine Quellen hat es genug. Eine Pause lohnt sich in der Violettes-Hütte (2208 m). Die traditionellen Walliser Gerichte sind einfach, aber ausgezeichnet. Im wahrsten Sinne des Wortes: Der mit einem Michelin-Stern ausgezeichnete Küchenchef betreibt ebenfalls eines der besten Gourmet-Restaurants von Crans-Montana. Von hier aus verläuft die Tour unter dem Gletscher Plaine Morte um die Hänge des Petit Mont Bonvin zum wunderschönen Tal, das von der Tièche durchflossen wird. Das Tal der Tièche ist ein weiteres Highlight der Wanderung, ein Naturparadies mit Wasserfällen, Lärchen und Alpweiden. Hier beginnt der Abstieg zum Ferienort Aminona östlich von Crans-Montana. Eine wunderschöne Teilstrecke folgt dann der Suone Tsittoret, die im 15. Jahrhundert erbaut wurde. Das Wasser kommt aus der Tièche im Osten, welche weiter unten zur Raspille wird, welche die deutsch-französische Sprachgrenze im Kanton Wallis markiert. Via Buvette Cave du Sex beginnt dann der Schlussabstieg.",224,https://www.schweizmobil.ch/de/wanderland/route-224
Sentier des alpages de Vionnaz,"Torgon, La Jorette (Rundweg)",14.0,780.0,technical: easy | fitness: medium,270,1,"Torgon liegt auf etwas über 1000 Metern Höhe im Walliser Chablais. Das Dorf geniesst eine fantastische Panoramalage mit Blick auf das Rhonetal. Auf dieser Rundwanderung von Alp zu Alp werden abwechslungsreiche Naturlandschaften mit einer vielfältigen Tier- und Pflanzenwelt erkundet. Mit etwas Glück kann unterwegs sogar ein Mufflon entdeckt werden, das Wahrzeichen der Region. Ab dem Place de la Jorette in Torgon steigt die Wanderung hinauf in Richtung Alp Eusin, die sich auf die Herstellung von Ziegenkäse spezialisiert hat. Der Weg wird in Richtung Croix bis zur Alp Chétillon fortgesetzt. Kurz bergab beginnt danach bereits der Aufstieg nach Conches, höchster Punkt der Tour. Oben angekommen, werden die Mühen des Aufstiegs mit einer wunderbarer Aussicht belohnt: Ein herrlicher Blick auf den Genfersee öffnet sich, die alpine Kulisse bilden die Walliser und Waadtländer Alpen, die Dents du Midi und der Mont Blanc. Das nächste Highlight der Tour wartet bei Torgon: die 150 Meter lange Hängebrücke. Auf einer Höhe von 28 Metern überspannt sie den Fluss Avançon. Wer schwindelfrei ist, bleibt in der Mitte stehen und geniesst umgeben von Lärchen und anderen riesigen Nadelbäumen den herrlichen Blick ins Tal. Nach der Brücke sind es nur noch ein paar Schritte bis ins Ziel.",225,https://www.schweizmobil.ch/de/wanderland/route-225
Sentier du Lac de la Gruyère,Corbières (Rundweg),44.0,1500.0,Wanderweg | technical: easy | fitness: medium,755,3,"Der Zugang zu den 3 teils hügeligen Etappen erfolgt über das Dorf Corbières bis zur Brücke über die Saane. 51 km Wege bieten Erlebnisse für Augen und Gaumen. Entlang der Strecke gibt es zahlreiche Verpflegungs-, Bade- und Wassersportmöglichkeiten. Die erste, schleifenförmige Etappe beginnt im Wald und wärmt die Muskeln auf. Kulinarisches Highlight sind die Ziegenkäse-Tommes in Botterens, gefolgt von einer süssen Pause im Maison Cailler in Broc. Unweit des geheimnisvollen Moléson führt der Weg gemächlich zurück nach Corbières. Die zweite Etappe ist geschichtsträchtig: Das Rittergut Vuippens, mit dem Schloss und den Gärten, die Île d'Ogoz mit ihren mittelalterlichen Relikten. Entlang des Wassers bieten sich Gelegenheiten zum Baden, für Wassersport oder zum Essen, bevor es über die hoch über dem See thronenden Felsen nach Rossens geht. Ab Rossens müssen die 320 m der Talsperre zwischen See und Schlucht überwunden werden. Bis zum hügeligen Weg nach Pont-la-Ville ist Vorsicht geboten. Der hügelige Abschnitt belohnt mit einem atemberaubenden Blick auf den See und die Voralpen. Nun geht es hinunter zum Hafen von La Roche und über Hauteville, vorbei an den Höfen und Poyas, zurück nach Corbières mit seinem Schloss.",261,https://www.schweizmobil.ch/de/wanderland/route-261
Gastlosen Tour,"Jaun, Musersbergli (Rundweg)",11.0,780.0,Bergwanderweg | technical: medium | fitness: medium,240,1,"Abwechslung bezüglich Vegetation, Geologie, usw. ist das Schlüsselwort des Bergwanderwegs, der auf einer Höhe von rund 1500 und 1900 m ü. M. um die im Süden der Ortschaft Jaun gelegene Gastlosenkette führt. Dieser Eindruck prägt sich bereits am Ausgangspunkt der Wanderung ein. Während man sich in Richtung Soldatenhaus vorerst über sanfte Alpweiden und lichte Waldpassagen einläuft, kommen die imposanten und sehr zerklüfteten Kalkberge mit zum Teil über 300 Meter hohen senkrechten Felswänden immer näher. Hier durchschreitet man die äusserst artenreiche Pflanzenwelt im Stillwasserwald. Nach dem steinigen Übergang von der Nord- auf die Südseite beim Wolfsort – mit 1921 m ü. M. der höchste Punkt der Wanderung – durchschreitet man wieder tiefgrüne Alpenwiesen, bevor man nach der Alp Grat in den dichten, ebenso artenreichen Mattenwald hinuntersteigt, um zum Ausgangspunkt zurückzukehren. Die Wanderung kann auch in umgekehrter Richtung gemacht werden.",262,https://www.schweizmobil.ch/de/wanderland/route-262
Le Grand Tour des Vanils,Rossinière → Allières,13.0,820.0,Wanderweg | technical: medium | fitness: medium,270,1,"Ausgangspunkt dieser Tour ist das Dorf Rossinière, wo eine Reihe eindrucksvoller Holzbauten bewundert werden kann. Darunter das Chalet de la Place oder das berühmte Grand Chalet, das als grösstes Holzhaus der Schweiz gilt. Der polnisch-französische Maler Balthus verbrachte hier seine letzten Lebensjahre. In der Dorfmitte kann zudem die Balthus-Kapelle besichtigt werden, die ihm als Andenken gewidmet wurde. Vorbei am Lac de Vernex steigt die Route in die Höhe. Unterwegs bietet sich zwischen den Bäumen immer wieder ein wunderschöner Blick auf die spiegelnde Wasseroberfläche des Stausees. Beeindruckend ist auch die «Präsidententanne» gleich am Weg, die ihren Namen wegen ihrer majestätischen Statur erhalten hat. Auf die Magie der Wälder folgen Weiden: Es geht vorbei an Chalets, wo Tommes-Käse aus Ziegenmilch sowie der berühmte L’Etivaz AOP hergestellt werden. Von der Alp Corjon, höchster Punkt der Tour, geniessen die Wanderer einen traumhaften, für die Voralpen typischen Panoramablick auf den gleichnamigen Dent de Corjon und die Kette der Gummfluh. Zuerst steiler, dann etwas flacher wird nach Villaz abgestiegen. Nochmals leicht aufwärts liegt der Weiler Allières in einem hübschen Tal. Es wurde vom Fluss Hongrin geformt und zeichnet sich durch sein ausgeprägtes, wildes und abruptes Relief aus. Am Ziel in Auberge de la Croix de Fer werden traditionelle, schmackhafte Spezialitäten serviert.",263,https://www.schweizmobil.ch/de/wanderland/route-263
Chemin de la Grande Cariçaie,Estavayer-le-Lac (Rundweg),13.0,240.0,Wanderweg | technical: easy | fitness: medium,205,1,"Die Wanderung beginnt im mittelalterlichen Städtchen Estavayer-le-Lac. Durch die schmucken Gässchen flanierend können zahlreiche historische und architektonische Schätze entdeckt werden. Die gotische Stiftskirche etwa, oder das savoyische Schloss aus dem 12. Jahrhundert. Einmal die Stadtmauer hinter sich gelassen, öffnet sich das Tor ins Grüne: Auf der Höhe von Font wird das Naturschutzgebiet von Cheyres betreten. Ab diesem Punkt sind nur noch Velos und Wanderer erlaubt. Man sollte sich genügend Zeit nehmen und dem Konzert der Frösche lauschen, die Tiere beobachten, die kleinen versteckten Strände erkunden und die Informationstafeln lesen über die Grande Cariçaie. Spannend: Die Landschaft entlang des südlichen Neuenburgersees besteht aus acht Naturschutzgebieten auf einer Fläche von etwa 3000 Hektaren. Sie beherbergt rund einen Drittel der Flora der Schweiz und einen Viertel der Fauna. Beim Ausgang des Schutzgebiets wird der Hauptstrasse bis zum nächsten Wanderwegweiser gefolgt. Von Le Moulin aus führt die Route auf einem steilen Pfad in Richtung Bethanien, wobei man etwa dreissig Meter am Oratorium von Bonne Fontaine vorbeikommt. Via Châbles wird der Weg zurück in Richtung Estavayer-le-Lac fortgesetzt. Bei Punkt 591 lädt ein Picknickplatz mit einem herrlichen Blick auf die Grande Cariçaie und den Jura zu einer Pause ein. Dann geht es weiter nach Châtillon und schliesslich über die erschlossenen Wege zum Ausgangspunkt. Tipp: In Estavayer-le-Lac gibt es zahlreiche Cafés und Restaurants, viele davon liegen direkt am Wasser. Auf dieser Wanderung bietet sich zudem ein Picknick an einem der kleinen Strände an.",265,https://www.schweizmobil.ch/de/wanderland/route-265
Sentier panoramique des Paccots,"Les Paccots, Les Rosalys (Rundweg)",13.0,720.0,Wanderweg | technical: easy | fitness: medium,250,1,"Von Les Paccots (1106 m ü.M.) aus erreicht man in gut einer halben Wanderstunde den Lac des Joncs und die gleichnamige Auberge (1230 m ü.M.). Der tiefe, über 5000 Jahre alte Bergsee ist nicht nur ein beliebtes Ausflugsziel, sondern auch wichtiges Amphibienlaichgebiet. Seltene Tier- und Pflanzenarten wie der Rundblättrige Sonnentau, das Sumpfblutauge oder der Wasserknöterich finden hier ihren geschützten Lebensraum. Jetzt geht die Wanderung erst richtig los: Der Pfad steigt über Weiden und durch den Wald ziemlich steil bergan. Bilderbuchlandschaften umgeben die Wanderer und schon bald zeigt sich auch der Genfersee. Im kleinen Waldreservat Le Barlattey informiert eine Tafel über den ökologischen Reichtum des Gebiets. So können beispielsweise am Wegrand gelbe und purpurne Enziane bewundert werden. Danach verlässt man die Kühle des Waldes und wandert, den Moléson-Gipfel vor Augen, am Fusse des Dent de Lys zum schindelgedeckten Bergbeizli La Saletta (1499 m ü.M.). Die Aufwärts-Höhenmeter sind damit geschafft, auf der Terrasse kann das weite Panorama genossen werden. Der typisch freiburgischen Alpbeizli-Kultur kann man indes – zusammen mit einheimischen Ausflüglern – auch eine halbe Wegstunde weiter in der Buvette Le Vuipay frönen. Danach geht’s über Alpwiesen- und Waldwege zurück ins Tal.",266,https://www.schweizmobil.ch/de/wanderland/route-266
Breccaschlund-Panoramaweg,"Riggisalp, Bergstation → Schwarzsee, Gypsera",14.0,480.0,Wanderweg | technical: easy | fitness: difficult,250,1,"Von Schwarzsee (1047 m ü.M.) aus erreicht man mit der Sesselbahn bequem das Bärghuus Riggisalp auf 1493 Metern Höhe. Hier startet die Breccaschlund-Rundwanderung. Schon nach wenigen Schritten auf dem Panoramaweg ist man mittendrin in der Berg-Arena zwischen Charmey, Jaun und Schwarzsee. Die Buvette «Untere Euschels» lädt zu einem ersten Kaffeehalt. Danach führt der Wanderweg in lockerem Auf und Ab zu immer neuen Aussichten. Besonders schön überblickt man Schwarzsee vom Rippetli aus. Wenig später betritt man das Naturschutzgebiet Breccaschlund, ein Naturdenkmal nationaler Bedeutung. Unschwer ist zu erkennen, dass hier Gletscher die Baumeister waren. Ein spezieller Zauber geht von den imposanten Kalkfelswänden aus, die ihre weisslichen Zacken steil aus dem saftigen Grün der Alpweiden himmelwärts recken. Alte Trockensteinmauern, Alpenblumen und wiederkäuende Kühe unter mächtigen Bergahornen runden das idyllische Bild ab. Auch an urigen Beizlis am Wegrand mangelt es nicht: In der Alphütte St. Antoni Brecca, auf der Alp Cerniets und der Alp Steinige Rippa ist Käse Trumpf. Und zum Dessert empfiehlt sich die Alp Hubel Rippa mit wunderschönem Blick auf den nur noch gut 20 Minuten entfernten Schwarzsee. Tipp: Ab Rippetli im Breccaschlund lässt sich die Wanderung um gut vier Kilometer abkürzen.",267,https://www.schweizmobil.ch/de/wanderland/route-267
Sentier historique du Vully,Sugiez (Rundweg),12.0,440.0,Wanderweg | technical: easy | fitness: medium,210,1,"Nach dem Start beim Bahnhof Sugiez überquert der Weg den Broyekanal und mündet in einen sanften Hang voller Rebstöcke. Speziell: Der Wein, der aus diesen Trauben hergestellt wird, trägt das einzige bikantonale AOC-Schutzsiegel der Schweiz (Freiburg und Waadt). Der Weg wird bis zu den Grotten von Lamberta oberhalb des Winzerdorfes Môtier fortgesetzt. Hier sollte man sich etwas Zeit nehmen und die Höhlen in der Molasse besuchen, bevor es wieder zurück auf den Weg und in Richtung Réduit du Vully weitergeht. Letzteres war ein wichtiger Infanterie-Stützpunkt während der zwei grossen Kriege des 20. Jahrhunderts. Anschliessend taucht die Route in eine Waldlandschaft, wo der Agassiz-Stein entdeckt werden kann. Er wurde nach einem berühmten Wissenschaftler aus der Region benannt. Anhand dieses Findlings konnte Louis Agassiz die Existenz von Gletschern nachweisen. Weiter, auf dem Gipfel des Mont Vully, bietet sich ein atemberaubendes Panorama über das Drei-Seen-Land, den Jura und zu den Alpen. Auf dem Weiterweg geht es vorbei am keltischen Oppidum. Die Befestigung wurde ungefähr 124 vor Christus von den Kelten erbaut. Die Helvetier bewohnten diesen Hügel, bevor sie nach Gallien zogen und von Julius Cäsar gestoppt wurden. Beim Abstieg empfiehlt sich ein Abstecher zum Sarrasin-Turm. Durch die Weinberge und mit einzigartigem Blick auf den Murtensee geht es zum Ausgangspunkt zurück. Tipp: Unbedingt die regionalen Spezialitäten kosten; natürlich den Wein, aber auch den berühmten Vully-Kuchen.",268,https://www.schweizmobil.ch/de/wanderland/route-268
Gorges du Gottéron,Fribourg (Rundweg),11.0,320.0,Wanderweg | technical: easy | fitness: medium,180,1,"Im Mittelalter war das düstere Galterntal gefürchtet – eine Legende besagt, dass dort einst ein Drache lebte. Später liessen sich Schmiede und Müller nieder im Tal, etwas abseits von Freiburg am rechten Flussufer. Der Ort war ideal für laute handwerkliche Tätigkeiten oder solche, die die Nähe zu einem Fluss erforderten, ohne die Nachbarschaft zu stören. In diesem Tal gründete ausserdem die Jugend der Unterstadt den ersten Freiburger Hockeyclub. Zu Beginn führt die Route durch die mittelalterliche Freiburger Altstadt zum Klein-Sankt-Johann-Platz, wo einen historische Fassaden, Kastanien und der verzierte Brunnen umgeben. Sie überquert die Bernbrücke, die 1250 erbaut und seither regelmässig erneuert wurde. Durch die Schmiedgasse, vorbei an der Stadtmauer, wird dann der Weg entlang des Flusses und hinein ins bewaldete Tal eingeschlagen. Wer Glück hat, entdeckt eine Gämse auf den Molasse-Felsen. Die alte Mühle bei Ameismühle erreicht, geht es bergauf zum Bauernhof Schürmatt. Dieser liegt auf einem offenen Plateau. Weiter führt der Weg durch Feld und Wald. In Bürglen wird einige hundert Meter der Kantonsstrasse gefolgt, auf der Höhe des mittelalterlichen Turms gelangt man auf den Weg zurück. Beim Restaurant Auberge de l’Ange wird erneut die Bernbrücke überquert, bevor es zurück zum Bahnhof geht. Tipp: Die Wanderung kann verlängert werden, indem man ab Bürglen zur Loretokapelle (Pkt. 653) wandert und dann über Montorge hinunter zur Oberen Matte. Auf diesem Schlenker geniesst man einen schönen Blick auf die Stadt Freiburg und ihre Kathedrale.",269,https://www.schweizmobil.ch/de/wanderland/route-269
